,test_loss
0,395.2248539086068
1,395.4069693565989
2,444.1497169561091
3,412.67472303699543
4,135.90128069716658
5,154.72066182295268
6,440.98003231068327
7,422.58062935660627
8,154.01583915415026
9,409.1153852842154
10,516.351546985467
11,262.5613014155958
12,270.5391539909876
13,479.79716400200573
14,154.22834633687137
15,179.96579833412255
16,237.0696355266591
17,253.287488312923
18,536.6528968146363
19,154.0158391541508
20,429.9776024011634
21,471.3423787482633
22,483.34816281959223
23,428.78739762173205
24,161.83253121926646
25,392.72592480660586
26,465.8479982917818
27,486.5550434871431
28,253.28748831292341
29,422.5806293566063
30,417.77846023275197
31,432.1755575131964
32,499.26417039713954
33,459.3599667735376
34,156.3770811901465
35,415.9228440283821
36,499.82051217808583
37,465.8479982917816
38,237.0696355266592
39,440.98003231068327
40,169.89333964796631
41,187.91461179594955
42,414.2765539829976
43,400.0609315438374
44,170.29641174211696
45,88.05301948510288
46,415.9228440283817
47,392.72592480660575
48,179.96579833412278
49,154.7206618229525
50,146.9934296062557
51,160.42886215526661
52,160.63301677143863
53,81.21865192691008
54,173.6298083330403
55,170.29641174211721
56,156.37708119014664
57,161.8325312192664
58,154.22834633687123
59,135.9012806971667
60,474.67795221172145
61,398.2838562838099
62,457.6099876696687
63,786.7598109961609
64,81.21865192691031
65,400.0609315438373
66,459.3599667735379
67,428.78739762173177
68,479.7971640020052
69,412.6747230369949
70,430.6285015225763
71,455.22487080058437
72,507.2701464896274
73,457.6099876696686
74,160.63301677143866
75,414.2765539829982
76,499.2641703971396
77,483.3481628195929
78,270.5391539909882
79,444.1497169561095
80,216.99452703709161
81,295.2155017751393
82,455.22487080058505
83,398.28385628381005
84,160.42886215526667
85,187.91461179594913
86,432.1755575131962
87,471.3423787482633
88,262.5613014155957
89,395.4069693565992
90,504.5498894535748
91,216.99452703709176
92,430.62850152257636
93,474.67795221172105
94,146.99342960625563
95,169.8933396479667
96,417.7784602327523
97,429.97760240116384
98,516.3515469854667
99,395.22485390860703
