,train_loss,validation_loss
0,10779776.0,10272525.0
1,4359972.0,3781847.0
2,3541580.25,2836826.75
3,2799965.0,2134441.0
4,1725740.625,1269517.625
5,1010212.375,732540.0625
6,814798.9375,586159.5
7,719256.75,514583.375
8,652033.875,464090.15625
9,556711.875,395533.90625
10,428433.875,303118.46875
11,311866.65625,221739.375
12,238176.5,172762.609375
13,188534.328125,138278.71875
14,137173.546875,98957.3984375
15,81885.3359375,56355.74609375
16,41386.00390625,26718.8984375
17,23400.638671875,15027.65234375
18,16639.037109375,11079.5107421875
19,12459.154296875,8070.919921875
20,9547.8564453125,6173.1787109375
21,8381.1220703125,5092.59912109375
22,6180.99462890625,3860.459228515625
23,4825.794921875,3212.9140625
24,4211.19775390625,2899.94677734375
25,3418.64990234375,2367.171875
26,2948.616943359375,2067.3056640625
27,2521.347412109375,1785.3426513671875
28,2185.40576171875,1571.7647705078125
29,1875.07373046875,1352.5693359375
30,1813.338623046875,1278.22265625
31,1519.5615234375,1057.82568359375
32,1289.044677734375,987.336669921875
33,1370.484375,978.7526245117188
34,1034.4931640625,792.9414672851562
35,937.6607666015625,728.72119140625
36,873.201416015625,665.9366455078125
37,774.4137573242188,619.5264282226562
38,708.2667236328125,577.815673828125
39,648.0074462890625,535.4068603515625
40,597.4111328125,501.5358581542969
41,549.6861572265625,470.5328674316406
42,527.0548095703125,436.3995056152344
43,471.4883728027344,421.4783630371094
44,2159.994140625,1209.40087890625
45,1700.4775390625,1249.2298583984375
46,376.88775634765625,352.7122802734375
47,350.0765380859375,336.55316162109375
48,345.368896484375,334.8999328613281
49,308.5355224609375,307.8126525878906
50,298.4429016113281,304.06964111328125
51,278.0837097167969,292.45941162109375
52,261.8705139160156,278.5244445800781
53,575.0443115234375,506.0798034667969
54,235.24156188964844,257.15264892578125
55,226.27383422851562,250.9542236328125
56,214.22763061523438,241.52407836914062
57,304.3757629394531,263.2940673828125
58,196.44822692871094,228.5482635498047
59,199.82318115234375,227.4727783203125
60,213.8356475830078,261.447509765625
61,174.4790802001953,210.59571838378906
62,168.45962524414062,206.84024047851562
63,171.6382598876953,199.11016845703125
64,193.26268005371094,235.92416381835938
65,152.00686645507812,194.10284423828125
66,146.35557556152344,187.499267578125
67,143.10984802246094,188.53443908691406
68,137.4501495361328,181.02545166015625
69,133.97999572753906,180.16094970703125
70,129.3297576904297,174.1393585205078
71,126.7640380859375,173.5450897216797
72,122.22516632080078,168.58729553222656
73,121.93627166748047,175.21255493164062
74,149.60092163085938,201.9188995361328
75,112.81070709228516,159.9439239501953
76,110.73722839355469,159.18319702148438
77,107.0757064819336,155.81971740722656
78,104.82230377197266,154.40074157714844
79,598.0126953125,577.0425415039062
80,99.88186645507812,150.05039978027344
81,98.83554077148438,146.26852416992188
82,99.82444763183594,149.20301818847656
83,95.55390167236328,156.54171752929688
84,1635.7052001953125,1018.7131958007812
85,89.67724609375,141.75392150878906
86,484.40118408203125,356.1604919433594
87,86.2738265991211,137.4305877685547
88,84.3990707397461,137.26580810546875
89,89.04659271240234,148.27622985839844
90,1509.0078125,1093.5247802734375
91,180.08555603027344,182.1781768798828
92,86.59427642822266,143.86199951171875
93,82.61699676513672,131.18734741210938
94,89.26203155517578,155.4650421142578
95,74.0163803100586,130.11643981933594
96,73.18206787109375,131.22264099121094
97,94.52082824707031,126.61688232421875
98,91.03253173828125,156.7277374267578
99,78.81719970703125,125.78253173828125
100,119.26660919189453,153.0615692138672
101,67.93616485595703,124.46851348876953
102,66.60201263427734,128.42335510253906
103,69.96160125732422,124.83851623535156
104,522.496826171875,318.62115478515625
105,114.81500244140625,149.05743408203125
106,63.55685806274414,124.61082458496094
107,84.92484283447266,145.59165954589844
108,61.5873908996582,126.28160095214844
109,60.27122116088867,122.31315612792969
110,59.590431213378906,122.366943359375
111,67.9122543334961,121.63331604003906
112,68.45854187011719,119.54061126708984
113,64.62594604492188,131.03375244140625
